                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     73,                0.25541,                 3.2357,                0.30079,                0.21451,                0.91441,                0.99828,                      1,                  0.995,                0.98778,                0.99828,                      1,                  0.995,                0.52387,                0.26405,                 2.1377,                0.37579,                 0.2435,                0.59177,              0.0005744,              0.0005744,              0.0005744
                     74,                0.24734,                 3.3426,                0.31166,                0.21094,                 0.9022,                0.99827,                      1,                  0.995,                0.99015,                0.99827,                      1,                  0.995,                0.52495,                0.26775,                  2.192,                0.37199,                0.25386,                0.58213,              0.0005546,              0.0005546,              0.0005546
                     75,                0.24705,                 3.0862,                0.31526,                0.20657,                0.88746,                0.99825,                      1,                  0.995,                0.98981,                0.99825,                      1,                  0.995,                0.54387,                0.26925,                 1.9696,                0.37639,                0.25522,                0.57578,              0.0005348,              0.0005348,              0.0005348
                     76,                0.23301,                 3.1134,                0.29791,                0.20291,                0.89074,                0.99827,                      1,                  0.995,                0.99037,                0.93172,                0.93333,                0.92909,                0.49623,                0.26226,                  2.107,                0.37129,                0.23325,                0.56872,               0.000515,               0.000515,               0.000515
                     77,                0.24522,                 3.1528,                0.29792,                0.22183,                0.89622,                0.99826,                      1,                  0.995,                0.99063,                0.99826,                      1,                  0.995,                0.59151,                0.25183,                 1.8302,                0.36296,                 0.2321,                0.57062,              0.0004952,              0.0004952,              0.0004952
                     78,                 0.2534,                 3.0366,                0.30947,                0.21544,                0.89839,                0.99825,                      1,                  0.995,                0.98984,                0.99825,                      1,                  0.995,                 0.4983,                0.24764,                 2.0093,                0.36046,                0.22265,                0.57359,              0.0004754,              0.0004754,              0.0004754
                     79,                 0.2358,                 2.9126,                0.30208,                0.21192,                0.88536,                0.99824,                      1,                  0.995,                0.99057,                0.96496,                0.96667,                0.96735,                0.50035,                0.25432,                 2.1479,                 0.3785,                0.21394,                0.57991,              0.0004556,              0.0004556,              0.0004556
                     80,                0.25937,                 2.7771,                0.30773,                0.21736,                0.90695,                0.99822,                      1,                  0.995,                 0.9849,                0.99822,                      1,                  0.995,                0.59232,                0.26367,                 1.8824,                0.37405,                 0.2367,                0.57177,              0.0004358,              0.0004358,              0.0004358
                     81,                0.24318,                 3.0308,                 0.3098,                0.21232,                0.89701,                0.99823,                      1,                  0.995,                0.98284,                0.99823,                      1,                  0.995,                0.57562,                0.26614,                 1.8684,                0.38039,                0.24155,                0.57494,               0.000416,               0.000416,               0.000416
                     82,                0.24007,                 3.1114,                0.30826,                0.21275,                0.92078,                0.99818,                      1,                  0.995,                0.98547,                0.99818,                      1,                  0.995,                0.58293,                0.25845,                  1.896,                0.37377,                0.23248,                0.57047,              0.0003962,              0.0003962,              0.0003962
                     83,                0.24819,                 3.0303,                0.30185,                0.21668,                0.89694,                0.99814,                      1,                  0.995,                  0.995,                0.99814,                      1,                  0.995,                0.64424,                0.25034,                 1.7532,                0.38588,                0.22865,                0.56711,              0.0003764,              0.0003764,              0.0003764
                     84,                0.24615,                 2.8636,                0.32366,                0.20482,                0.89917,                0.99819,                      1,                  0.995,                  0.995,                0.99819,                      1,                  0.995,                0.57533,                0.25483,                 2.0841,                0.39418,                 0.2323,                0.57758,              0.0003566,              0.0003566,              0.0003566
                     85,                0.23402,                 2.8997,                0.30798,                0.20417,                0.88914,                0.99817,                      1,                  0.995,                  0.995,                0.99817,                      1,                  0.995,                0.64528,                 0.2373,                 1.8453,                0.39808,                0.22084,                0.55851,              0.0003368,              0.0003368,              0.0003368
                     86,                0.23808,                 2.8349,                0.28748,                 0.2084,                0.91021,                0.99819,                      1,                  0.995,                0.99283,                0.99819,                      1,                  0.995,                0.60705,                0.22581,                 2.0701,                0.39469,                0.21246,                0.54626,               0.000317,               0.000317,               0.000317
